image_link,date,description,note,equipment_type,cntry_army,flag,system,status,total_equipment_type_oryx,total_system_oryx,total_destroyed_oryx,total_abandoned_oryx,total_captured_oryx,total_damaged_oryx,timestamp
https://i.postimg.cc/DzQV61cq/dbb.png,NA,NA,no date,Towed Artillery,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,122mm D-30 howitzer 2A18,captured,27,57,10,5,38,4,2022-04-29T21:08:14Z
https://i.postimg.cc/DzQV61cq/dbb.png,NA,NA,no date,Towed Artillery,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,122mm D-30 howitzer 2A18,captured,27,57,10,5,38,4,2022-04-29T21:08:14Z
https://i.postimg.cc/DzQV61cq/dbb.png,NA,NA,no date,Towed Artillery,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,122mm D-30 howitzer 2A18,captured,27,57,10,5,38,4,2022-04-29T21:08:14Z
https://i.postimg.cc/DzQV61cq/dbb.png,NA,NA,no date,Towed Artillery,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,122mm D-30 howitzer 2A18,captured,27,57,10,5,38,4,2022-04-29T21:08:14Z
https://i.postimg.cc/DzQV61cq/dbb.png,NA,NA,no date,Towed Artillery,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,122mm D-30 howitzer 2A18,captured,27,57,10,5,38,4,2022-04-29T21:08:14Z
https://i.postimg.cc/DzQV61cq/dbb.png,NA,NA,no date,Towed Artillery,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,122mm D-30 howitzer 2A18,captured,27,57,10,5,38,4,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1506371635754029059,2022-03-22,NA,date from tweet,Self-Propelled Artillery,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,152mm 2S3 Akatsiya,damaged,29,102,43,15,41,2,2022-04-29T21:08:14Z
https://tass.ru/armiya-i-opk/13840645,2022-02-24,NA,date from news,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://i.postimg.cc/RCjcz7sM/h7.jpg,2022-03-08,NA,date from image,Aircraft,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Su-25 close air support aircraft,destroyed,9,26,25,NA,NA,1,2022-04-29T21:08:14Z
https://twitter.com/RALee85/status/1507360503546449924,2022-03-25,NA,date from tweet,Aircraft,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Su-25 close air support aircraft,destroyed,9,26,25,NA,NA,1,2022-04-29T21:08:14Z
https://twitter.com/Ukraine_AF/status/1505486035186331650,2022-03-20,NA,date from tweet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://twitter.com/UAWeapons/status/1506281076825763851,2022-03-22,NA,date from tweet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://twitter.com/UAWeapons/status/1504481490276532228,2022-03-18,NA,date from tweet,Helicopters,Russia,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png,Mi-35M attack helicopter,destroyed,3,38,35,1,1,1,2022-04-29T21:08:14Z
https://twitter.com/oryxspioenkop/status/1502605989400489990,2022-03-04,NA,date from tweet,Helicopters,Russia,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png,Mi-28 attack helicopter,destroyed,3,38,35,1,1,1,2022-04-29T21:08:14Z
https://ren.tv/news/v-rossii/949310-dva-cheloveka-pogibli-pri-krushenii-vertoleta-v-rostovskoi-oblasti,2022-03-08,NA,date from news,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://twitter.com/azyakancokkacan/status/1504785437902188573,2022-03-18,NA,date from tweet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://i.postimg.cc/8544dhfV/66.png,NA,NA,no date,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://i.postimg.cc/QxT5hQNx/421.png,NA,NA,no date,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://twitter.com/UAWeapons/status/1506229325598756872,2022-03-22,NA,date from tweet,Naval Ships,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Project 03160 Raptor class patrol boat,damaged,1,4,2,NA,NA,2,2022-04-29T21:08:14Z
